taskId,mode,recallAt12,redundantCount
t01_unit1_present_simple,DENSE_ONLY,1.0000,0
t01_unit1_present_simple,BM25_ONLY,0.6667,0
t01_unit1_present_simple,HYBRID_ALPHA,1.0000,0
t01_unit1_present_simple,HYBRID_ALPHA_MMR,1.0000,0
t02_unit2_past_simple,DENSE_ONLY,0.5000,0
t02_unit2_past_simple,BM25_ONLY,0.0000,0
t02_unit2_past_simple,HYBRID_ALPHA,0.5000,0
t02_unit2_past_simple,HYBRID_ALPHA_MMR,0.5000,0
t03_modals_conditionals,DENSE_ONLY,0.0000,0
t03_modals_conditionals,BM25_ONLY,0.3333,0
t03_modals_conditionals,HYBRID_ALPHA,0.0000,0
t03_modals_conditionals,HYBRID_ALPHA_MMR,0.0000,0
